label,sentences,class
s58,ভাতের উপরে একটু ঘি দিয়ে দাও মজা লাগবে খেতে।,Dementia
s59,বিস্কুটের বক্স কোথায় থাকে জানি না।,Dementia
s60,"আগে মাংস অনেক পছন্দ করতাম, এখন ভালো লাগেনা।",Dementia
s61,সবজিটার নাম কিছুতেই মনে করতে পারছিনা।,Dementia
s62,সকালে সবার জন্য হোটেল থেকে পরোটা কিনে এনেছিলাম।,Dementia
s63,আমার মেয়ে অনেক পদের সবজি রান্না করতে পারে।,Dementia
s64,আজ দুপুরে কি রান্না হবে জানিনা আমি।,Dementia
s65,রাতে আমার জন্য একটা লেবু কেটে রেখো।,Dementia
s66,"বয়স হয়ে গিয়েছে, বেশি মিষ্টি খাওয়া ঠিক হবে না।",Dementia
s67,ছেলেকে বললাম বাইরে থেকে কিছু খাবার এনে দিতে।,Dementia
s68,"এত গরম ভাত খেতে পারবো না, আগে ঠান্ডা হোক।",Dementia
s69,আমার খাবার নিয়ে এনে দাও ক্ষুধা লেগেছে।,Dementia
s70,তোমার মা এখন মাঝেমধ্যে আমাকে খাইয়ে দেয়।,Dementia
s71,এই জামাটা পরতে আমার ভালো লাগছে না।,Dementia
s72,আজ কোন পোশাকটা পরব বুঝে উঠতে পারছি না।,Dementia
s73,আমার জন্য কেউ একটু কাপড় বের করে দাও তো।,Dementia
s74,"বাইরে অনেক গরম, হালকা কাপড় পরবো।",Dementia
s75,আমার মোজাটা কোথায় রাখা আছে খুঁজে পাচ্ছি না।,Dementia
s76,প্যান্টটা ভাঁজ করে আলমারিতে রেখে দাও।,Dementia
s77,সাদা রঙের জামাটা আমার একদমই পছন্দ না।,Dementia
s78,আমার জামাকাপড়গুলি ময়লা হয়ে গেছে ধুয়ে দিতে হবে।,Dementia
s79,আমাকে একটা নতুন জামা খুঁজে দাও তো।,Dementia
s80,"তুমি আমার সাথে বাজারে যাবে, কিছু কেনাকাটা করব।",Dementia
s81,আমার এই জামাটা পুরোনো হয়ে গিয়েছে।,Dementia
s82,কাল একটা নতুন জামা কিনতে হবে।,Dementia
s83,"আমাকে গরম কাপড়ের কিছু বের করে দাও, বাইরে বাতাস হচ্ছে।",Dementia
s84,তোমার জামাটা খুবই সুন্দর লেগেছে আমার কাছে।,Dementia
s85,"কাল কোন কাজ রেখো না, জামাকাপড় কিনতে যাব।",Dementia
s86,আমার জামাটার একপাশে ছিড়ে গেছে।,Dementia
s87,শার্টের রংটা নষ্ট হয়ে গেছে প্রায়।,Dementia
s88,মেয়েদের জামার দাম এখন অনেকটা বেশি।,Dementia
s89,অপ্রয়োজনীয় কাপড় কিনে টাকা নষ্ট করার দরকার নেই।,Dementia
s90,প্রায় এক বছর পরে নতুন স্যান্ডেল কিনলাম।,Dementia
s91,আমার জামাটা ভালোমতো ইস্ত্রি হয়নি।,Dementia
s92,এবার ঈদে আমি নতুন জামা কিনবো না।,Dementia
s93,আমার পরার জন্য অল্প জামাকাপড় যথেষ্ট।,Dementia
s94,আমাদের সময় ঢিলা প্যান্ট পড়ার চল ছিলো।,Dementia
s95,শহরের কাপড়ের দাম এতোটা বেশি তা জানা ছিল না।,Dementia
s96,পায়ের মোজা টা বারবার খুলে যাচ্ছে।,Dementia
s97,আমার এই জামাটা একটু বড় হয়ে গেছে।,Dementia
s98,কম্বলটা সরিয়ে দাও এখন গরম লাগছে ।,Dementia
s99,আগেকার মানুষ এতটা রংবেরঙের কাপড় পরতো না।,Dementia
s100,জামা বানিয়ে নেবো না দোকান থেকে কিনে নেবো বুঝতে পারছিনা।,Dementia
s101,আমার নতুন জামাটা দোকানে ফেলে রেখে চলে এসেছি।,Dementia
s102,"আমার এই জামাটা ময়লা হয়ে গিয়েছে আজকে, ধুয়ে দিও তো।",Dementia
s103,এবার ঈদে মা আর বাবার জন্য নতুন জামা কিনব।,Dementia
s104,তোমার ছোট ছেলেকে স্কুলের পোশাকে তো খুব সুন্দর লাগছে।,Dementia
s105,আমি ঠিক করেছি এবার ঈদে সবাইকে শপিং করে দিব।,Dementia
s106,সামনে পহেলা বৈশাখে আমরা বাসার সবাই পাঞ্জাবি আর শাড়ি পরব।,Dementia
s107,"ঈদের কেনাকাটা আগেই সেরে ফেলবো, পরে ভিড় অনেক বেড়ে যায়।",Dementia
s108,পায়জামার দড়িটা ঠিক ভাবে বাঁধতে পারছি না।,Dementia
s109,"আমার বড় বোন ঈদে একটা শাড়ি চেয়েছিল, কিনতে ভুলে গিয়েছি।",Dementia
s110,"আমার পুরনো চাদরটা বের করে দিও তো, গায়ে দেবো।",Dementia
s111,"আমার চশমাটা দাও, কাপড়ের রংটা বুঝতে পারছি না।",Dementia
s112,"কাপড় গুলো কাচার কথা মনেই থাকে না, আজকে ধুয়ে দেবো।",Dementia
s113,আজ গোসলের পর আমাকে নতুন জামা পরিয়ে দিও।,Dementia
s114,"জামাটা সুন্দর, কিন্তু দামটা একটু বেশি মনে হচ্ছে।",Dementia
s115,বাইরে বের হওয়ার সময় আমার হাতে ঘড়ি পরিয়ে দিও।,Dementia
s116,তুমি এই শাড়িটা পড়ো তোমাকে ভালো লাগবে।,Dementia
s117,"শীত অনেক বেশি লাগছে, সোয়েটার বের করা লাগবে মনে হয়।",Dementia
s118,মোজাটা আবার খুলে গিয়েছে ঠিক করে দাও।,Dementia
s119,জামাটা অনেক পুরনো হলেও আমার পরে বেশ আরাম লাগে।,Dementia
s120,এই জামাটা কোথা থেকে কিনেছিলাম মনে নাই।,Dementia
s121,"জুতাটা পরে আমার পা ব্যথা হয়ে গেল, খুলে দাও।",Dementia
s122,"কাপড়ের ডিজাইন টা এরকম না, আলাদা ছিল মনে হয়।",Dementia
s123,তোমার পোশাকের ধরন আমার খুব একটা ভালো লাগেনি।,Dementia
s124,অনলাইনে কিভাবে জামা কাপড় কিনে আমাকে শিখিয়ে দিও তো।,Dementia
s125,আমার এই রকম কোনো শাড়ি ছিল কিনা মনে নেই।,Dementia
s126,"এই ঈদে শুধু একটা শাড়ি কিনব, আর কিছু না।",Dementia
s127,আমার বিয়েতে আমি একটা বেনারসি শাড়ি পড়েছিলাম।,Dementia
s128,"তুমি আমার সিল্কের শাড়িটা পড়তে পারো, তোমাকে মানাবে।",Dementia
s129,জামার ওড়নাটা আমার অনেক পছন্দ হয়েছে।,Dementia
s130,"নতুন ব্লাউজের সেলাই টা অনেক চাপা, পরতে অসুবিধা হচ্ছে।",Dementia
s131,পুজোয় পরার জন্য লাল সাদার ভেতরে একটা শাড়ি কিনে আনবে।,Dementia
s132,"বয়স হয়ে গিয়েছে, এর জন্য শাড়ি সামলাতে অসুবিধা হয়।",Dementia
s133,শাড়ির কুচি কিভাবে দেয় মনে করতে পারছিনা।,Dementia
s134,"শাড়িটা ভালো করে ধুয়ে রাখো, যেন রঙ নষ্ট না হয়।",Dementia
s135,"ওড়নাটা ঠিকভাবে রাখতে পারছিনা, আগে তো এরকম হতো না।",Dementia
s136,"এই শাড়িটা আমার বিয়ের সময় কিনেছিলাম, এখনো রেখে দিয়েছি।",Dementia
s137,আজ শাড়ি পড়তে গিয়ে আঁচল কিভাবে দেব বুঝতে পারছিলাম না।,Dementia
s138,জামার রং এর নাম মনে করতে পারছি না।,Dementia
s139,বুটিকের ডিজাইন করা একটা কামিজ কিনতে ইচ্ছা করছে।,Dementia
s140,"এই ফ্রকটা অনেক সুন্দর, কিন্তু ঢিলা মনে হচ্ছে।",Dementia
s141,নতুন বাসার রাস্তাটা ভুলে গেছি।,Dementia
s142,"বাড়িটা পরিচিত লাগছে, আগে এসেছি মনে হচ্ছে ",Dementia
s143,"আমার বাড়িটা কোথায়, মনে পড়ছে না।",Dementia
s144,"আমি কোন রুমে থাকি, মনে করতে পারছি না।",Dementia
s145,তুমি কোথায় থাকো ঠিক মাথায় আসছে না।,Dementia
s146,তোমার বাসা কোন এলাকায় বলেছিলে মনে নেই।,Dementia
s147,তুমি ঢাকায় থাকো জানতামই না।,Dementia
s148,আমাকে এখনই বাসায় যেতে হবে।,Dementia
s149,তোমার বাসার ঠিকানা মনে করতে পারছি না।,Dementia
s150,আমার বন্ধুর বাসা কোন জেলায় মনে পড়ছে না।,Dementia
s151,আমি কোথায় চাকরি করতাম মনে নেই।,Dementia
s152,পাশের বাড়ির ডিজাইনটা সুন্দর লাগে।,Dementia
s153,সন্ধ্যার আগেই বাসায় ফিরে আসবে কিন্তু।,Dementia
s154,"অনেক গরম লাগছে, জানালাটা খুলে দাও।",Dementia
s155,এসি টা অন করে দিও তাহলে একটু শান্তি পাই।,Dementia
s156,কারেন্ট না থাকলে ঘরে থাকতে অনেক কষ্ট হয়।,Dementia
s157,ফ্যানের জোরটা একটু বাড়িয়ে দাও।,Dementia
s158,বাড়ির কাজ কবে শেষ হবে কি জানি।,Dementia
s159,"আমাদের বাসার ছাদে যাও, দারুণ বাতাস পাবে।",Dementia
s160,বসার জন্য একটা নতুন সোফা কিনতে হবে।,Dementia
s161,ঘরের ফার্নিচার গুলোর রঙ একদম নষ্ট হয়ে গেছে।,Dementia
s162,সিমেন্টের দাম কমলে বাড়িটা প্লাস্টার করবো ভাবছিলাম।,Dementia
s163,সামনের মাসে ঘরের চালটা ঠিক করতে হবে।,Dementia
s164,ইটের দাম বেড়ে গেলে বাড়িটা এখন বানাতে পারবো না।,Dementia
s165,বর্ষার আগেই বাড়ির কাজ শুরু করতে হবে।,Dementia
s166,রাতে মনে হয় অনেক জোরে বৃষ্টি হয়েছে।,Dementia
s167,বাসা ভাড়া দেওয়ার কথা তো ভুলেই গিয়েছি।,Dementia
s168,বাড়িটা ভাড়া দিলে কিছু লাভ হতো।,Dementia
s169,আমি বাসায় তালা লাগাতে ভুলে গিয়েছি।,Dementia
s170,লোন নিয়ে বাড়ি তৈরির কাজ শুরু করবো।,Dementia
