label,sentences,class
s90,কাল আমার বন্ধুদের বাসায় দাওয়াত দিয়েছি।,Non_Dementia
s91,বিকেলে একটা নতুন উপন্যাস পড়তে বসবো।,Non_Dementia
s92,রাত জেগে খেলা দেখলে কালকে বেলা পর্যন্ত ঘুমাবো।,Non_Dementia
s93,অফিসের পিকনিকের জন্য প্রস্তুতি নিতে হবে।,Non_Dementia
s94,রাতে বন্ধুদের সাথে মাওয়া যেয়ে ইলিশ ভাজা খাবো।,Non_Dementia
s95,আর একমাস পরে আমার ফাইনাল পরীক্ষা।,Non_Dementia
s96,বাসায় গিয়ে আজকের নোটগুলো আমাকে দিও।,Non_Dementia
s97,মা-বাবার জন্য ঈদের কেনাকাটা করতে হবে।,Non_Dementia
s98,আজ ব্যাঙ্কে টাকা জমা দিয়ে আসলাম।,Non_Dementia
s99,ছেলেকে এইবার একটা সাইকেল কিনে দিবো।,Non_Dementia
s100,আমার মেয়ে ফুটবল খেলা খুব পছন্দ করে।,Non_Dementia
s101,আগামী মাসে নতুন কোর্সে অ্যাডমিশন নিতে হবে।,Non_Dementia
s102,কাল বিকেলের মধ্যে কিছু কাজ শেষ করতে হবে।,Non_Dementia
s103,"পরশু ছুটির দিন, চলো বিকেলে কোথাও বেড়াতে যাই।",Non_Dementia
s104,আগামী মাসে একটা কনফারেন্সে হওয়ার কথা আছে।,Non_Dementia
s105,আজকে আর মেলায় যেতে ইচ্ছা করছে না।,Non_Dementia
s106,পরশুদিন আমাকে ডাক্তারের কাছে যেতে হবে।,Non_Dementia
s107,এইবার ছুটিতে বন্ধুদের সাথে পাহাড়ে বেড়াতে যাব।,Non_Dementia
s108,বিকেলে একটা নতুন সিরিজ দেখা শুরু করব।,Non_Dementia
s109,ক্লাস শেষ করে বন্ধুদের সাথে কফি খেতে যাব।,Non_Dementia
s110,দুপুরের পর বাবা কেনাকাটা করতে যাবে বলেছেন।,Non_Dementia
s111,অনেকদিন ধরে চাকরি খুঁজছি কিন্তু পাওয়া যাচ্ছে না।,Non_Dementia
s112,আগামী বছর আমার মেয়েটা ক্লাস টু তে উঠবে।,Non_Dementia
s113,আজকে বাবার টেস্টের রিপোর্ট হাতে পাব।,Non_Dementia
s114,গতকাল দুপুরে একটা জরুরী মিটিং ছিল।,Non_Dementia
s115,"বিকেলে বাসাায় মেহমান আসবে, বাজারে যেতে হবে।",Non_Dementia
s116,আমার বন্ধুর মায়ের শরীরটা খুব একটা ভালো না,Non_Dementia
s117,আগামী সপ্তাহে আমি তোমাদের বাসায় বেড়াতে যাবো।,Non_Dementia
s118,আজ অনেক রাত জেগে পড়াশোনা করেছি।,Non_Dementia
s119,আমি ঢাকায় দুইটা টিউশনি করাই।,Non_Dementia
s120,বিকেলে তোমাকে কোচিং এ রেখে আমি কাজে যাবো।,Non_Dementia
s121,আজ আমার পুরনো একটা বন্ধুর সাথে দেখা হল।,Non_Dementia
s122, বিকেলে মাঠে ফুটবল খেলতে যাব।,Non_Dementia
s123,এক কাপ গরম চা আর বই নিয়ে বারান্দায় বসে ছিলাম।,Non_Dementia
s124,আজকের অনুষ্ঠানটি সবাই অনেক উপভোগ করেছে।,Non_Dementia
s125,এই বিছানাটা তে শুয়ে আমি অনেক আরাম পাই।,Non_Dementia
s126,শীতকাল আসছে তাই বাজারে নতুন সবজি পাওয়া যাচ্ছে।,Non_Dementia
s127,আজকে অফিস থেকে একটু তাড়াতাড়ি বাসায় আসব।,Non_Dementia
s128,শীতের সকালে কুয়াশায় ঢাকা শহর দেখতে ভালোই লাগে।,Non_Dementia
s129,বাচ্চাদের জন্য শীতের জামা কাপড় আগেই কিনে ফেলবো।,Non_Dementia
s130,"আজকে খুব ব্যস্ত ছিলাম, এই সন্ধ্যায় একটু সময় পেলাম।",Non_Dementia
s131,কিছু দরকারি বই কিনতে লাইব্রেরী যাব।,Non_Dementia
s132,আমি আমার ছোটবেলার বন্ধুদেরকে খুব মিস করি।,Non_Dementia
s133,ব্যবসার অবস্থাটা ইদানিং ভালো যাচ্ছে না।,Non_Dementia
s134,আজকে অফিসের সবাইকে নিয়ে রেস্টুরেন্টে খাওয়া দাওয়া হল।,Non_Dementia
s135,"সকাল থেকে ঠাণ্ডা বাতাস, শীত আসার আভাস পাচ্ছি।",Non_Dementia
s136,আমি একটি নতুন ল্যাপটপ কেনার জন্য টাকা জমাচ্ছি।,Non_Dementia
s137,আমাকে এই রিপোর্টটি এক দিনের মধ্যে শেষ করতে হবে।,Non_Dementia
s138,"ঘুম কম হচ্ছে, রাত জেগে কাজ করার অভ্যাসটা বাদ দেয়া দরকার।",Non_Dementia
s139,ঝাল খাওয়ার জন্য মনটা ছটফট করছে।,Non_Dementia
s140,নতুন নতুন রেসিপি ট্রাই করতে ভালোই লাগে।,Non_Dementia
s141,গরম অনেক বেশি পড়ছে তাই সকালেই গোসল করে নেবো।,Non_Dementia
s142,"ছোটবেলায় যে পুতুলটা পছন্দ করতাম, সেটা আবার পেয়েছি।",Non_Dementia
s143,"খুব ব্যস্ত দিন কাটালাম, এখন একটু বিশ্রাম দরকার।",Non_Dementia
s144,পরের সপ্তাহে অফিসের জন্য নতুন কিছু পোশাক কিনতে হবে।,Non_Dementia
s145,অনেকদিন পরে আজকে একটু কম্পিউটার গেমস খেলবো।,Non_Dementia
s146,আমার ছাদের ছোট্ট গাছপালাগুলোর যত্ন নিতে হবে।,Non_Dementia
s147,দেখা যাক কি হয় তবে সামনের মাসে কিছু ছোট্ট বিনিয়োগের চিন্তা করছি।,Non_Dementia
s148,অনেকদিন পর পুরনো দিনের গানগুলো শুনলাম।,Non_Dementia
s149,হঠাত কিছু পুরোনো ছবি দেখে আগের অনেক স্মৃতি মনে পড়ছে।,Non_Dementia
s150,আজকে সন্ধ্যায় আমি আর বাবা চাচাদের বাসায় বেড়াতে যাচ্ছি।,Non_Dementia
s151,"বাইরে গেলে হালকা কাপড় পরো, বাহিরে কিন্তু আজকে তুলনামূলক বেশি গরম।",Non_Dementia
s152,আজকে রাত্রে রিয়াল মাদ্রিদ আর বার্সেলোনার ম্যাচ আছে।,Non_Dementia
s153,"পরশুদিন রাত্রে বিয়ের দাওয়াত আছে, ভুলে যেও না কিন্তু।",Non_Dementia
s154,শুক্রবার দুপুরে পরিবারের সবাই মিলে বাইরে খেতে গেলে ভালো হয়।,Non_Dementia
s155,"বাজার করতে যাচ্ছি, বাজারের লিস্টটা একটু তাড়াতাড়ি বের করে দাও তো।",Non_Dementia
s156,"বাবাকে ডাক্তার দেখানোর ডেট পার হয়ে গেছে , আর দেরী করা ঠিক হবে না",Non_Dementia
s157,বাসায় যাওয়ার পথে মায়ের ঔষুধ গুলো কিনে নিয়ে যাতে হবে।,Non_Dementia
s158,শুনলাম এ বারের বই মেলায় থিলার জনরার বেশ কিছু বই পাওয়া যাচ্ছে।,Non_Dementia
s159,প্রোজেক্টের কাজ করার সময় ল্যাপটপটা হঠাত বন্ধ হয়ে গেছে।,Non_Dementia
s160,শহরের বাইরে একটা নতুন পার্ক হয়েছে সময় পেলে বেড়াতে যাব।,Non_Dementia
s161,"টনসিল হলে গরম পানি দিয়ে কুল্কুচি করতে পারো, ভালো উপকার পাবে।",Non_Dementia
s162,যা বুঝলাম গত মাসে সত্যিই অনেক বেশি খরচ হয়ে গেছে।,Non_Dementia
s163,পরের মাসে বেতন পেয়ে বাবার জন্য ভালো দেখে কয়েকটা পাঞ্জাবি কিনতে হবে। ,Non_Dementia
s164,সকালে এক কাপ হালকা চা এর সাথে পেপার পড়তে ভালোই লাগে।,Non_Dementia
s165,"অনেকদিন হচ্ছে দাদা বাড়ি যাওয়া হচ্ছে না, আজকে কিন্তু যাওয়াই যায় ",Non_Dementia
s166,"কাল রাতে ঠিকমতো ঘুম হয়নি, তাই মাথা কিছুটা ভার ভার লাগছে।",Non_Dementia
s167,"ঢাকা শহরের যে ট্রাফিক, এ কারণে আজ আবার দেরি হয়ে গেল!",Non_Dementia
s168,যেহেতু নতুন কিছু শিখছো সুতরাং অনেক ধৈর্য ধরে থাকতে হবে।,Non_Dementia
s169,"তুমি পড়ালেখার পাশাপাশি ইন্টার্নশিপ করো, কাজে আসবে।",Non_Dementia
s170,"শুনেছি, প্রতিদিন একই সময়ে ঔষধ খেলে ভালো ফলাফল পাওয়া যায়।",Non_Dementia
